	alpha	lambda	max_depth	learning_rate	n_estimators	subsample	colsample_bytree	min_child_weight	n_jobs	seed
0	10	50	4	0.03	800	0.8	0.5	5	8	666
1	5	50	5	0.05	600	0.9	0.7	2	8	666
2	10	100	3	0.03	1000	0.75	0.4	10	8	666
3	1	20	4	0.05	800	0.8	0.7	3	8	666
4	20	100	3	0.02	1200	0.75	0.5	10	8	666
